Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	52.4328	17.210083	0.0	0	0.0
0	52.4328	28.40799	0.0	1	0.812
1	52.3257	28.40799	0.0	0	0.0005675818532573373
0	52.3257	17.29338	0.0	1	0.812
1	52.2186	17.25769	0.0	0	0.000555752533408338
0	52.2186	28.402039	0.0	1	0.812
1	52.1115	28.419876	0.0	0	0.0005611739135140681
0	52.1115	17.281479	0.0	1	0.812
1	52.0044	17.269577	0.0	0	0.0005630624705332821
0	52.0044	28.40799	0.0	1	0.812
1	51.8973	28.40799	0.0	0	0.0005703911992718247
0	51.8973	17.275528	0.0	1	0.812
1	51.7902	17.275528	0.0	0	0.0005602531245187947
0	51.7902	28.396088	0.0	1	0.812
1	51.67715	28.425827	0.0	0	0.000555752533408338
0	51.67715	17.281479	0.0	1	0.812
1	51.57005	17.269577	0.0	0	0.0005703911992718247
0	51.57005	28.402039	0.0	1	0.812
1	51.46295	28.419876	0.0	0	0.000555752533408338
0	51.46295	17.275528	0.0	1	0.812
1	51.35585	17.275528	0.0	0	0.0005703911992718247
0	51.35585	28.40799	0.0	1	0.812
1	51.24875	28.40799	0.0	0	0.0005675818532573373
0	51.24875	17.29338	0.0	1	0.812
1	51.14165	17.25769	0.0	0	0.000555752533408338
0	51.14165	28.402039	0.0	1	0.812
1	51.03455	28.419876	0.0	0	0.0005630812621468806
0	51.03455	17.281479	0.0	1	0.812
1	50.92745	17.269577	0.0	0	0.0005611551219004696
0	50.92745	28.40799	0.0	1	0.812
1	50.82035	28.40799	0.0	0	0.0005703892404618216
0	50.8144	17.275528	0.0	1	0.812
1	50.7073	17.275528	0.0	0	0.0005621604731516072
0	50.7073	28.396088	0.0	1	0.812
1	50.6002	28.425827	0.0	0	0.0005538451847755255
0	50.6002	17.281479	0.0	1	0.812
1	50.4931	17.269577	0.0	0	0.0005703911992718247
0	50.4931	28.402039	0.0	1	0.812
1	50.386	28.419876	0.0	0	0.000555752533408338
0	50.386	17.275528	0.0	1	0.812
1	50.2789	17.275528	0.0	0	0.0005703911992718247
0	50.2789	28.40799	0.0	1	0.812
1	50.1718	28.40799	0.0	0	0.0005675818532573373
0	50.1718	17.29338	0.0	1	0.812
1	50.0647	17.25769	0.0	0	0.000555752533408338
0	50.0647	28.402039	0.0	1	0.812
1	49.9576	28.419876	0.0	0	0.0005630793043813753
0	49.95165	17.281479	0.0	1	0.812
1	49.84455	17.269577	0.0	0	0.0005630624705332821
0	49.84455	28.40799	0.0	1	0.812
1	49.73745	28.40799	0.0	0	0.0005684838506390122
0	49.73745	17.275528	0.0	1	0.812
1	49.63035	17.275528	0.0	0	0.0005621604731516072
0	49.63035	28.396088	0.0	1	0.812
1	49.52325	28.425827	0.0	0	0.000555752533408338
0	49.52325	17.281479	0.0	1	0.812
1	49.41615	17.269577	0.0	0	0.0005684838506390122
0	49.41615	28.402039	0.0	1	0.812
1	49.30905	28.419876	0.0	0	0.000555752533408338
0	49.30905	17.275528	0.0	1	0.812
1	49.20195	17.275528	0.0	0	0.0005703911992718247
0	49.20195	28.40799	0.0	1	0.812
1	49.0889	28.40799	0.0	0	0.0005675818532573373
0	49.0889	17.29338	0.0	1	0.812
1	48.9818	17.25769	0.0	0	0.000555752533408338
0	48.9818	28.402039	0.0	1	0.812
1	48.8747	28.419876	0.0	0	0.0005630812621468806
0	48.8747	17.281479	0.0	1	0.812
1	48.7676	17.269577	0.0	0	0.0005630624705332821
0	48.7676	28.40799	0.0	1	0.812
1	48.6605	28.40799	0.0	0	0.0005703911992718247
