Mode	X(m)	Y(m)	Z(m)	Power(W)	tParam
1	0.053699	-0.041483	0.000000	0	0.0
0	0.053598	-0.041430	0.000000	350	0.916
0	0.052985	-0.041168	0.000000	0	0.476
0	0.054663	-0.042138	0.000000	350	0.799
0	0.055008	-0.042429	0.000000	0	0.124
0	0.052878	-0.041204	0.000000	350	0.799
0	0.052765	-0.041233	0.000000	0	0.028
0	0.055252	-0.042661	0.000000	350	0.802
0	0.055472	-0.042888	0.000000	0	0.066
0	0.052646	-0.041257	0.000000	350	0.801
0	0.052538	-0.041287	0.000000	0	0.021
0	0.055650	-0.043084	0.000000	350	0.799
0	0.055799	-0.043268	0.000000	0	0.042
0	0.052425	-0.041317	0.000000	350	0.799
0	0.052312	-0.041347	0.000000	0	0.019
0	0.055948	-0.043441	0.000000	350	0.799
0	0.056067	-0.043608	0.000000	0	0.032
0	0.052199	-0.041376	0.000000	350	0.801
0	0.052092	-0.041406	0.000000	0	0.017
0	0.056180	-0.043768	0.000000	350	0.8
0	0.056281	-0.043923	0.000000	0	0.026
0	0.051973	-0.041430	0.000000	350	0.8
0	0.051872	-0.041471	0.000000	0	0.015
0	0.056370	-0.044066	0.000000	350	0.799
0	0.056454	-0.044209	0.000000	0	0.022
0	0.051759	-0.041501	0.000000	350	0.8
0	0.051646	-0.041531	0.000000	0	0.015
0	0.056555	-0.044363	0.000000	350	0.801
0	0.056608	-0.044488	0.000000	0	0.017
0	0.051539	-0.041561	0.000000	350	0.799
0	0.051414	-0.041585	0.000000	0	0.015
0	0.056692	-0.044631	0.000000	350	0.799
0	0.056745	-0.044756	0.000000	0	0.015
0	0.051313	-0.041620	0.000000	350	0.799
0	0.051200	-0.041650	0.000000	0	0.013
0	0.056793	-0.044881	0.000000	350	0.8
0	0.056876	-0.045018	0.000000	0	0.017
0	0.051087	-0.041680	0.000000	350	0.8
0	0.050962	-0.041704	0.000000	0	0.013
0	0.056906	-0.045131	0.000000	350	0.8
0	0.056971	-0.045262	0.000000	0	0.015
0	0.050855	-0.041733	0.000000	350	0.8
0	0.050754	-0.041769	0.000000	0	0.011
0	0.057025	-0.045387	0.000000	350	0.8
0	0.057049	-0.045500	0.000000	0	0.011
0	0.050640	-0.041799	0.000000	350	0.8
0	0.050533	-0.041828	0.000000	0	0.011
0	0.057090	-0.045619	0.000000	350	0.799
0	0.057132	-0.045738	0.000000	0	0.012
0	0.050414	-0.041858	0.000000	350	0.8
0	0.050301	-0.041888	0.000000	0	0.011
0	0.057179	-0.045857	0.000000	350	0.8
0	0.057197	-0.045964	0.000000	0	0.01
0	0.050188	-0.041918	0.000000	350	0.799
0	0.050075	-0.041947	0.000000	0	0.01
0	0.057233	-0.046077	0.000000	350	0.8
0	0.057257	-0.046184	0.000000	0	0.01
0	0.049962	-0.041977	0.000000	350	0.8
0	0.049855	-0.042007	0.000000	0	0.01
0	0.057298	-0.046303	0.000000	350	0.799
0	0.057310	-0.046404	0.000000	0	0.009
0	0.049748	-0.042043	0.000000	350	0.799
0	0.049623	-0.042061	0.000000	0	0.01
0	0.057328	-0.046511	0.000000	350	0.8
0	0.057352	-0.046618	0.000000	0	0.009
0	0.049522	-0.042102	0.000000	350	0.8
0	0.049397	-0.042120	0.000000	0	0.01
0	0.057382	-0.046731	0.000000	350	0.8
0	0.057388	-0.046832	0.000000	0	0.008
0	0.049284	-0.042150	0.000000	350	0.8
0	0.049189	-0.042191	0.000000	0	0.008
0	0.057394	-0.046928	0.000000	350	0.799
0	0.057417	-0.047035	0.000000	0	0.008
0	0.049076	-0.042221	0.000000	350	0.799
0	0.048951	-0.042239	0.000000	0	0.01
0	0.057429	-0.047136	0.000000	350	0.799
0	0.057447	-0.047243	0.000000	0	0.008
0	0.048838	-0.042275	0.000000	350	0.8
0	0.048742	-0.042310	0.000000	0	0.007
0	0.057447	-0.047332	0.000000	350	0.799
0	0.057471	-0.047445	0.000000	0	0.008
0	0.048623	-0.042334	0.000000	350	0.8
0	0.048510	-0.042364	0.000000	0	0.008
0	0.057459	-0.047529	0.000000	350	0.799
0	0.057483	-0.047642	0.000000	0	0.008
0	0.048391	-0.042394	0.000000	350	0.8
0	0.048296	-0.042429	0.000000	0	0.007
0	0.057471	-0.047725	0.000000	350	0.8
0	0.057477	-0.047826	0.000000	0	0.007
0	0.048177	-0.042453	0.000000	350	0.8
0	0.048064	-0.042483	0.000000	0	0.008
0	0.057477	-0.047921	0.000000	350	0.799
0	0.057483	-0.048022	0.000000	0	0.007
0	0.047945	-0.042513	0.000000	350	0.8
0	0.047844	-0.042548	0.000000	0	0.007
0	0.057489	-0.048118	0.000000	350	0.8
0	0.057477	-0.048201	0.000000	0	0.006
0	0.047725	-0.042578	0.000000	350	0.8
0	0.047618	-0.042608	0.000000	0	0.007
0	0.057465	-0.048290	0.000000	350	0.799
0	0.057483	-0.048397	0.000000	0	0.007
0	0.047511	-0.042638	0.000000	350	0.8
0	0.047386	-0.042661	0.000000	0	0.008
0	0.057459	-0.048475	0.000000	350	0.799
0	0.057471	-0.048582	0.000000	0	0.007
0	0.047273	-0.042691	0.000000	350	0.8
0	0.047178	-0.042727	0.000000	0	0.006
0	0.057459	-0.048665	0.000000	350	0.8
0	0.057441	-0.048748	0.000000	0	0.005
0	0.047059	-0.042757	0.000000	350	0.799
0	0.046946	-0.042786	0.000000	0	0.007
0	0.057429	-0.048838	0.000000	350	0.799
0	0.057429	-0.048933	0.000000	0	0.006
0	0.046832	-0.042816	0.000000	350	0.8
0	0.046719	-0.042846	0.000000	0	0.007
0	0.057417	-0.049022	0.000000	350	0.8
0	0.057400	-0.049105	0.000000	0	0.005
0	0.046618	-0.042882	0.000000	350	0.799
0	0.046493	-0.042900	0.000000	0	0.008
0	0.057382	-0.049189	0.000000	350	0.8
0	0.057376	-0.049278	0.000000	0	0.005
0	0.046386	-0.042935	0.000000	350	0.799
0	0.046273	-0.042965	0.000000	0	0.007
0	0.057352	-0.049361	0.000000	350	0.8
0	0.057346	-0.049450	0.000000	0	0.005
