Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	53.699	-41.483	2.550	0	0.000
0	53.598	-41.430	2.550	1	0.916
0	52.985	-41.168	2.550	0	0.476
0	54.663	-42.138	2.550	1	0.799
0	55.008	-42.429	2.550	0	0.124
0	52.878	-41.204	2.550	1	0.799
0	52.765	-41.233	2.550	0	0.028
0	55.252	-42.661	2.550	1	0.802
0	55.472	-42.888	2.550	0	0.066
0	52.646	-41.257	2.550	1	0.801
0	52.538	-41.287	2.550	0	0.021
0	55.650	-43.084	2.550	1	0.799
0	55.799	-43.268	2.550	0	0.042
0	52.425	-41.317	2.550	1	0.799
0	52.312	-41.347	2.550	0	0.019
0	55.948	-43.441	2.550	1	0.799
0	56.067	-43.608	2.550	0	0.032
0	52.199	-41.376	2.550	1	0.801
0	52.092	-41.406	2.550	0	0.017
0	56.180	-43.768	2.550	1	0.800
0	56.281	-43.923	2.550	0	0.026
0	51.973	-41.430	2.550	1	0.800
0	51.872	-41.471	2.550	0	0.015
0	56.370	-44.066	2.550	1	0.799
0	56.454	-44.209	2.550	0	0.022
0	51.759	-41.501	2.550	1	0.800
0	51.646	-41.531	2.550	0	0.015
0	56.555	-44.363	2.550	1	0.801
0	56.608	-44.488	2.550	0	0.017
0	51.539	-41.561	2.550	1	0.799
0	51.414	-41.585	2.550	0	0.015
0	56.692	-44.631	2.550	1	0.799
0	56.745	-44.756	2.550	0	0.015
0	51.313	-41.620	2.550	1	0.799
0	51.200	-41.650	2.550	0	0.013
0	56.793	-44.881	2.550	1	0.800
0	56.876	-45.018	2.550	0	0.017
0	51.087	-41.680	2.550	1	0.800
0	50.962	-41.704	2.550	0	0.013
0	56.906	-45.131	2.550	1	0.800
0	56.971	-45.262	2.550	0	0.015
0	50.855	-41.733	2.550	1	0.800
0	50.754	-41.769	2.550	0	0.011
0	57.025	-45.387	2.550	1	0.800
0	57.049	-45.500	2.550	0	0.011
0	50.640	-41.799	2.550	1	0.800
0	50.533	-41.828	2.550	0	0.011
0	57.090	-45.619	2.550	1	0.799
0	57.132	-45.738	2.550	0	0.012
0	50.414	-41.858	2.550	1	0.800
0	50.301	-41.888	2.550	0	0.011
0	57.179	-45.857	2.550	1	0.800
0	57.197	-45.964	2.550	0	0.010
0	50.188	-41.918	2.550	1	0.799
0	50.075	-41.947	2.550	0	0.010
0	57.233	-46.077	2.550	1	0.800
0	57.257	-46.184	2.550	0	0.010
0	49.962	-41.977	2.550	1	0.800
0	49.855	-42.007	2.550	0	0.010
0	57.298	-46.303	2.550	1	0.799
0	57.310	-46.404	2.550	0	0.009
0	49.748	-42.043	2.550	1	0.799
0	49.623	-42.061	2.550	0	0.010
0	57.328	-46.511	2.550	1	0.800
0	57.352	-46.618	2.550	0	0.009
0	49.522	-42.102	2.550	1	0.800
0	49.397	-42.120	2.550	0	0.010
0	57.382	-46.731	2.550	1	0.800
0	57.388	-46.832	2.550	0	0.008
0	49.284	-42.150	2.550	1	0.800
0	49.189	-42.191	2.550	0	0.008
0	57.394	-46.928	2.550	1	0.799
0	57.417	-47.035	2.550	0	0.008
0	49.076	-42.221	2.550	1	0.799
0	48.951	-42.239	2.550	0	0.010
0	57.429	-47.136	2.550	1	0.799
0	57.447	-47.243	2.550	0	0.008
0	48.838	-42.275	2.550	1	0.800
0	48.742	-42.310	2.550	0	0.007
0	57.447	-47.332	2.550	1	0.799
0	57.471	-47.445	2.550	0	0.008
0	48.623	-42.334	2.550	1	0.800
0	48.510	-42.364	2.550	0	0.008
0	57.459	-47.529	2.550	1	0.799
0	57.483	-47.642	2.550	0	0.008
0	48.391	-42.394	2.550	1	0.800
0	48.296	-42.429	2.550	0	0.007
0	57.471	-47.725	2.550	1	0.800
0	57.477	-47.826	2.550	0	0.007
0	48.177	-42.453	2.550	1	0.800
0	48.064	-42.483	2.550	0	0.008
0	57.477	-47.921	2.550	1	0.799
0	57.483	-48.022	2.550	0	0.007
0	47.945	-42.513	2.550	1	0.800
0	47.844	-42.548	2.550	0	0.007
0	57.489	-48.118	2.550	1	0.800
0	57.477	-48.201	2.550	0	0.006
0	47.725	-42.578	2.550	1	0.800
0	47.618	-42.608	2.550	0	0.007
0	57.465	-48.290	2.550	1	0.799
0	57.483	-48.397	2.550	0	0.007
0	47.511	-42.638	2.550	1	0.800
0	47.386	-42.661	2.550	0	0.008
0	57.459	-48.475	2.550	1	0.799
0	57.471	-48.582	2.550	0	0.007
0	47.273	-42.691	2.550	1	0.800
0	47.178	-42.727	2.550	0	0.006
0	57.459	-48.665	2.550	1	0.800
0	57.441	-48.748	2.550	0	0.005
0	47.059	-42.757	2.550	1	0.799
0	46.946	-42.786	2.550	0	0.007
0	57.429	-48.838	2.550	1	0.799
0	57.429	-48.933	2.550	0	0.006
0	46.832	-42.816	2.550	1	0.800
0	46.719	-42.846	2.550	0	0.007
0	57.417	-49.022	2.550	1	0.800
0	57.400	-49.105	2.550	0	0.005
0	46.618	-42.882	2.550	1	0.799
0	46.493	-42.900	2.550	0	0.008
0	57.382	-49.189	2.550	1	0.800
0	57.376	-49.278	2.550	0	0.005
0	46.386	-42.935	2.550	1	0.799
0	46.273	-42.965	2.550	0	0.007
0	57.352	-49.361	2.550	1	0.800
0	57.346	-49.450	2.550	0	0.005
0	46.160	-42.995	2.550	1	0.800
0	46.053	-43.024	2.550	0	0.006
0	57.322	-49.534	2.550	1	0.800
0	57.310	-49.617	2.550	0	0.005
0	45.940	-43.054	2.550	1	0.799
0	45.827	-43.084	2.550	0	0.007
0	57.287	-49.700	2.550	1	0.800
0	57.263	-49.784	2.550	0	0.005
0	45.714	-43.114	2.550	1	0.800
0	45.601	-43.143	2.550	0	0.007
0	57.233	-49.861	2.550	1	0.800
0	57.227	-49.950	2.550	0	0.005
0	45.494	-43.173	2.550	1	0.799
0	45.381	-43.203	2.550	0	0.006
0	57.197	-50.028	2.550	1	0.799
0	57.174	-50.111	2.550	0	0.005
0	45.268	-43.233	2.550	1	0.799
0	45.155	-43.262	2.550	0	0.006
0	57.150	-50.188	2.550	1	0.799
0	57.126	-50.272	2.550	0	0.005
0	45.041	-43.292	2.550	1	0.800
0	44.934	-43.322	2.550	0	0.006
0	57.096	-50.349	2.550	1	0.799
0	57.072	-50.426	2.550	0	0.004
0	44.827	-43.358	2.550	1	0.800
0	44.714	-43.387	2.550	0	0.006
0	57.037	-50.504	2.550	1	0.799
0	57.025	-50.587	2.550	0	0.004
0	44.595	-43.417	2.550	1	0.799
0	44.482	-43.447	2.550	0	0.006
0	56.983	-50.658	2.550	1	0.800
0	56.965	-50.742	2.550	0	0.004
0	44.381	-43.477	2.550	1	0.799
0	44.256	-43.500	2.550	0	0.007
0	56.930	-50.819	2.550	1	0.800
0	56.894	-50.896	2.550	0	0.004
0	44.155	-43.536	2.550	1	0.800
0	44.030	-43.560	2.550	0	0.007
0	56.858	-50.968	2.550	1	0.800
0	56.840	-51.051	2.550	0	0.004
0	43.923	-43.596	2.550	1	0.800
0	43.857	-43.649	2.550	0	0.004
0	56.781	-51.111	2.550	1	0.799
0	56.775	-51.206	2.550	0	0.005
0	43.810	-43.715	2.550	1	0.800
0	43.762	-43.786	2.550	0	0.004
0	56.727	-51.271	2.550	1	0.799
0	56.692	-51.343	2.550	0	0.004
0	43.727	-43.857	2.550	1	0.799
0	43.667	-43.917	2.550	0	0.004
0	56.650	-51.414	2.550	1	0.800
0	56.620	-51.491	2.550	0	0.004
0	43.625	-43.988	2.550	1	0.799
0	43.584	-44.060	2.550	0	0.004
0	56.567	-51.557	2.550	1	0.800
0	56.543	-51.634	2.550	0	0.004
0	43.542	-44.131	2.550	1	0.799
0	43.500	-44.203	2.550	0	0.004
0	56.495	-51.706	2.550	1	0.799
0	56.460	-51.777	2.550	0	0.004
0	43.477	-44.280	2.550	1	0.800
0	43.405	-44.333	2.550	0	0.004
0	56.406	-51.842	2.550	1	0.800
0	56.376	-51.920	2.550	0	0.004
0	43.381	-44.417	2.550	1	0.799
0	43.340	-44.488	2.550	0	0.004
0	56.323	-51.979	2.550	1	0.799
0	56.293	-52.057	2.550	0	0.004
0	43.310	-44.566	2.550	1	0.799
0	43.262	-44.625	2.550	0	0.004
0	56.239	-52.122	2.550	1	0.799
0	56.192	-52.187	2.550	0	0.004
0	43.245	-44.714	2.550	1	0.799
0	43.179	-44.774	2.550	0	0.004
0	56.150	-52.259	2.550	1	0.800
0	56.103	-52.324	2.550	0	0.004
0	43.173	-44.863	2.550	1	0.799
0	43.114	-44.922	2.550	0	0.004
0	56.049	-52.390	2.550	1	0.800
0	56.013	-52.461	2.550	0	0.004
0	43.102	-45.006	2.550	1	0.799
0	43.054	-45.077	2.550	0	0.004
0	55.948	-52.521	2.550	1	0.799
0	55.912	-52.592	2.550	0	0.004
0	43.030	-45.155	2.550	1	0.800
0	42.983	-45.226	2.550	0	0.004
0	55.841	-52.646	2.550	1	0.799
0	55.817	-52.729	2.550	0	0.004
0	42.965	-45.309	2.550	1	0.800
0	42.941	-45.387	2.550	0	0.004
0	55.752	-52.782	2.550	1	0.800
0	55.698	-52.848	2.550	0	0.004
0	42.917	-45.470	2.550	1	0.800
0	42.876	-45.541	2.550	0	0.004
0	55.633	-52.907	2.550	1	0.799
0	55.597	-52.979	2.550	0	0.004
0	42.858	-45.625	2.550	1	0.799
0	42.828	-45.702	2.550	0	0.004
0	55.525	-53.032	2.550	1	0.800
0	55.478	-53.104	2.550	0	0.004
0	42.810	-45.785	2.550	1	0.799
0	42.775	-45.863	2.550	0	0.004
0	55.406	-53.157	2.550	1	0.799
0	55.365	-53.223	2.550	0	0.004
0	42.763	-45.946	2.550	1	0.800
0	42.733	-46.029	2.550	0	0.005
0	55.281	-53.270	2.550	1	0.799
0	55.252	-53.348	2.550	0	0.004
0	42.721	-46.112	2.550	1	0.799
0	42.691	-46.190	2.550	0	0.004
0	55.157	-53.389	2.550	1	0.800
0	55.127	-53.467	2.550	0	0.004
0	42.679	-46.279	2.550	1	0.800
0	42.656	-46.356	2.550	0	0.004
0	55.043	-53.514	2.550	1	0.799
0	54.990	-53.574	2.550	0	0.004
0	42.650	-46.452	2.550	1	0.799
0	42.608	-46.523	2.550	0	0.004
0	54.907	-53.621	2.550	1	0.800
0	54.871	-53.693	2.550	0	0.004
0	42.614	-46.618	2.550	1	0.800
0	42.578	-46.696	2.550	0	0.005
0	54.788	-53.740	2.550	1	0.800
0	54.728	-53.800	2.550	0	0.004
0	42.596	-46.797	2.550	1	0.799
0	42.542	-46.862	2.550	0	0.005
0	54.651	-53.853	2.550	1	0.800
0	54.585	-53.907	2.550	0	0.005
0	42.560	-46.963	2.550	1	0.799
0	42.525	-47.041	2.550	0	0.005
0	54.502	-53.955	2.550	1	0.799
0	54.454	-54.020	2.550	0	0.004
0	42.542	-47.148	2.550	1	0.800
0	42.501	-47.213	2.550	0	0.004
0	54.359	-54.062	2.550	1	0.800
0	54.312	-54.127	2.550	0	0.004
0	42.525	-47.326	2.550	1	0.799
0	42.483	-47.392	2.550	0	0.004
0	54.222	-54.169	2.550	1	0.800
0	54.151	-54.228	2.550	0	0.005
0	42.501	-47.499	2.550	1	0.800
0	42.483	-47.582	2.550	0	0.005
0	54.062	-54.270	2.550	1	0.799
0	54.008	-54.329	2.550	0	0.004
0	42.495	-47.683	2.550	1	0.800
0	42.471	-47.767	2.550	0	0.005
0	53.907	-54.365	2.550	1	0.799
0	53.847	-54.425	2.550	0	0.005
0	42.489	-47.868	2.550	1	0.800
0	42.465	-47.951	2.550	0	0.005
0	53.752	-54.466	2.550	1	0.800
0	53.669	-54.514	2.550	0	0.005
0	42.489	-48.058	2.550	1	0.799
0	42.471	-48.141	2.550	0	0.005
0	53.580	-54.556	2.550	1	0.799
0	53.514	-54.615	2.550	0	0.005
0	42.489	-48.249	2.550	1	0.799
0	42.477	-48.332	2.550	0	0.005
0	53.419	-54.651	2.550	1	0.800
0	53.354	-54.710	2.550	0	0.005
0	42.501	-48.445	2.550	1	0.799
0	42.483	-48.528	2.550	0	0.005
0	53.241	-54.740	2.550	1	0.800
0	53.157	-54.788	2.550	0	0.006
0	42.519	-48.641	2.550	1	0.799
0	42.507	-48.730	2.550	0	0.005
0	53.050	-54.817	2.550	1	0.800
0	52.979	-54.871	2.550	0	0.005
0	42.542	-48.844	2.550	1	0.799
0	42.519	-48.927	2.550	0	0.005
0	52.872	-54.907	2.550	1	0.800
0	52.800	-54.954	2.550	0	0.005
0	42.554	-49.040	2.550	1	0.799
