Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	207.127	24.051	2.650	0	0.000
0	207.157	23.962	2.650	1	0.784
0	207.127	24.039	2.650	0	0.075
0	207.038	24.325	2.650	1	0.779
0	206.633	25.271	2.650	0	0.766
0	207.353	23.058	2.650	1	0.782
0	207.412	22.582	2.650	0	0.392
0	206.407	25.682	2.650	1	0.780
0	206.205	26.009	2.650	0	0.327
0	207.442	22.195	2.650	1	0.781
0	207.448	21.891	2.650	0	0.269
0	206.026	26.265	2.650	1	0.782
0	205.865	26.473	2.650	0	0.228
0	207.436	21.630	2.650	1	0.780
0	207.424	21.374	2.650	0	0.222
0	205.699	26.681	2.650	1	0.780
0	205.550	26.854	2.650	0	0.202
0	207.412	21.130	2.650	1	0.781
0	207.383	20.928	2.650	0	0.185
0	205.401	27.026	2.650	1	0.781
0	205.264	27.151	2.650	0	0.168
0	207.353	20.737	2.650	1	0.781
0	207.323	20.529	2.650	0	0.186
0	205.128	27.288	2.650	1	0.781
0	204.991	27.413	2.650	0	0.164
0	207.282	20.368	2.650	1	0.781
0	207.246	20.178	2.650	0	0.172
0	204.854	27.544	2.650	1	0.781
0	204.729	27.633	2.650	0	0.139
0	207.210	20.005	2.650	1	0.781
0	207.157	19.868	2.650	0	0.133
0	204.598	27.746	2.650	1	0.781
0	204.473	27.835	2.650	0	0.139
0	207.115	19.708	2.650	1	0.781
0	207.067	19.571	2.650	0	0.128
0	204.348	27.937	2.650	1	0.781
0	204.229	28.014	2.650	0	0.129
0	207.020	19.422	2.650	1	0.781
0	206.966	19.291	2.650	0	0.125
0	204.110	28.079	2.650	1	0.781
0	203.985	28.175	2.650	0	0.139
0	206.913	19.166	2.650	1	0.782
0	206.865	19.018	2.650	0	0.138
0	203.872	28.240	2.650	1	0.781
0	203.753	28.306	2.650	0	0.120
0	206.806	18.910	2.650	1	0.781
0	206.758	18.780	2.650	0	0.123
0	203.634	28.389	2.650	1	0.781
0	203.521	28.436	2.650	0	0.111
0	206.698	18.655	2.650	1	0.781
0	206.645	18.542	2.650	0	0.113
0	203.402	28.508	2.650	1	0.781
0	203.295	28.549	2.650	0	0.104
0	206.585	18.423	2.650	1	0.781
0	206.520	18.327	2.650	0	0.105
0	203.182	28.603	2.650	1	0.780
0	203.081	28.627	2.650	0	0.094
0	206.466	18.214	2.650	1	0.781
0	206.401	18.113	2.650	0	0.109
0	202.998	28.591	2.650	1	0.781
0	202.908	28.579	2.650	0	0.082
0	206.341	18.006	2.650	1	0.781
0	206.282	17.911	2.650	0	0.102
0	202.825	28.549	2.650	1	0.781
0	202.736	28.526	2.650	0	0.084
0	206.211	17.828	2.650	1	0.781
0	206.157	17.709	2.650	0	0.118
0	202.652	28.496	2.650	1	0.781
0	202.557	28.490	2.650	0	0.086
0	206.086	17.631	2.650	1	0.781
0	206.020	17.536	2.650	0	0.105
0	202.480	28.442	2.650	1	0.781
0	202.385	28.448	2.650	0	0.086
0	205.955	17.447	2.650	1	0.781
0	205.889	17.364	2.650	0	0.096
0	202.301	28.395	2.650	1	0.781
0	202.206	28.401	2.650	0	0.086
0	205.818	17.286	2.650	1	0.782
0	205.752	17.197	2.650	0	0.098
0	202.129	28.353	2.650	1	0.781
0	202.034	28.347	2.650	0	0.086
0	205.687	17.120	2.650	1	0.781
0	205.621	17.030	2.650	0	0.100
0	201.950	28.317	2.650	1	0.781
0	201.867	28.294	2.650	0	0.078
0	205.544	16.959	2.650	1	0.781
0	205.479	16.876	2.650	0	0.096
0	201.778	28.264	2.650	1	0.781
0	201.689	28.252	2.650	0	0.082
0	205.407	16.804	2.650	1	0.781
0	205.336	16.727	2.650	0	0.095
0	201.605	28.210	2.650	1	0.781
0	201.510	28.216	2.650	0	0.086
0	205.264	16.661	2.650	1	0.781
0	205.193	16.584	2.650	0	0.095
0	201.433	28.169	2.650	1	0.781
0	201.338	28.163	2.650	0	0.086
0	205.122	16.513	2.650	1	0.782
0	205.050	16.453	2.650	0	0.084
0	201.254	28.127	2.650	1	0.781
0	201.165	28.109	2.650	0	0.082
0	204.973	16.388	2.650	1	0.782
0	204.902	16.316	2.650	0	0.091
0	201.082	28.085	2.650	1	0.781
0	200.992	28.062	2.650	0	0.084
0	204.824	16.263	2.650	1	0.781
0	204.753	16.191	2.650	0	0.091
0	200.909	28.032	2.650	1	0.781
0	200.814	28.020	2.650	0	0.087
0	204.675	16.144	2.650	1	0.781
0	204.604	16.078	2.650	0	0.086
0	200.737	27.984	2.650	1	0.781
0	200.641	27.972	2.650	0	0.087
0	204.521	16.025	2.650	1	0.781
0	204.455	15.947	2.650	0	0.092
0	200.564	27.931	2.650	1	0.781
0	200.469	27.937	2.650	0	0.086
0	204.378	15.900	2.650	1	0.781
0	204.295	15.852	2.650	0	0.087
0	200.385	27.883	2.650	1	0.781
0	200.290	27.889	2.650	0	0.086
0	204.217	15.799	2.650	1	0.781
0	204.140	15.745	2.650	0	0.085
0	200.213	27.835	2.650	1	0.781
0	200.118	27.841	2.650	0	0.086
0	204.063	15.698	2.650	1	0.781
0	203.985	15.644	2.650	0	0.085
0	200.034	27.800	2.650	1	0.781
0	199.945	27.782	2.650	0	0.082
0	203.902	15.608	2.650	1	0.781
0	203.831	15.537	2.650	0	0.091
0	199.862	27.746	2.650	1	0.781
0	199.773	27.740	2.650	0	0.081
0	203.747	15.507	2.650	1	0.781
0	203.670	15.448	2.650	0	0.088
0	199.689	27.705	2.650	1	0.782
0	199.594	27.693	2.650	0	0.087
0	203.587	15.412	2.650	1	0.781
0	203.503	15.370	2.650	0	0.084
0	199.517	27.657	2.650	1	0.781
0	199.422	27.645	2.650	0	0.087
0	203.426	15.335	2.650	1	0.781
0	203.349	15.281	2.650	0	0.085
0	199.338	27.615	2.650	1	0.781
0	199.249	27.592	2.650	0	0.084
0	203.259	15.251	2.650	1	0.781
0	203.182	15.204	2.650	0	0.082
0	199.166	27.568	2.650	1	0.781
0	199.077	27.544	2.650	0	0.084
0	203.093	15.174	2.650	1	0.781
0	203.015	15.126	2.650	0	0.082
0	198.993	27.514	2.650	1	0.781
0	198.898	27.508	2.650	0	0.086
0	202.932	15.097	2.650	1	0.781
0	202.849	15.061	2.650	0	0.082
0	198.815	27.467	2.650	1	0.781
0	198.725	27.461	2.650	0	0.081
0	202.760	15.043	2.650	1	0.781
0	202.688	14.984	2.650	0	0.084
0	198.642	27.425	2.650	1	0.781
0	198.553	27.413	2.650	0	0.082
0	202.593	14.972	2.650	1	0.781
0	202.516	14.930	2.650	0	0.080
0	198.470	27.371	2.650	1	0.781
0	198.374	27.371	2.650	0	0.086
0	202.426	14.912	2.650	1	0.781
