Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	0.000000	0.000000	0	0.00	9.4692e+01
1	0.046077	-0.043013	0	0.00	0.0000e+00
0	0.046118	-0.043060	0	350.00	8.4332e-01
1	0.046053	-0.043114	0	0.00	1.1500e-03
0	0.045993	-0.043042	0	350.00	7.4354e-01
1	0.045904	-0.043060	0	0.00	1.1500e-03
0	0.045982	-0.043155	0	350.00	8.1775e-01
1	0.045940	-0.043233	0	0.00	1.1500e-03
0	0.045821	-0.043090	0	350.00	8.2615e-01
1	0.045726	-0.043108	0	0.00	1.1500e-03
0	0.045869	-0.043274	0	350.00	7.9791e-01
1	0.045803	-0.043322	0	0.00	1.1500e-03
0	0.045654	-0.043143	0	350.00	7.7452e-01
1	0.045547	-0.043149	0	0.00	1.1500e-03
0	0.045732	-0.043364	0	350.00	8.0763e-01
1	0.045690	-0.043441	0	0.00	1.1500e-03
0	0.045470	-0.043179	0	350.00	8.0485e-01
1	0.045387	-0.043209	0	0.00	1.1500e-03
0	0.045619	-0.043483	0	350.00	7.9740e-01
1	0.045553	-0.043536	0	0.00	1.1500e-03
0	0.045297	-0.043233	0	350.00	7.9383e-01
1	0.045208	-0.043245	0	0.00	1.1500e-03
0	0.045494	-0.043590	0	350.00	8.1446e-01
1	0.045428	-0.043637	0	0.00	1.1500e-03
0	0.045119	-0.043268	0	350.00	8.0245e-01
1	0.045036	-0.043298	0	0.00	1.1500e-03
0	0.045357	-0.043679	0	350.00	7.9718e-01
1	0.045315	-0.043756	0	0.00	1.1500e-03
0	0.044958	-0.043328	0	350.00	7.9665e-01
1	0.044857	-0.043334	0	0.00	1.1500e-03
0	0.045244	-0.043798	0	350.00	8.0550e-01
1	0.045178	-0.043852	0	0.00	1.1500e-03
0	0.044780	-0.043370	0	350.00	8.0704e-01
1	0.044685	-0.043387	0	0.00	1.1500e-03
0	0.045107	-0.043887	0	350.00	7.9323e-01
1	0.045065	-0.043965	0	0.00	1.1500e-03
0	0.044601	-0.043417	0	350.00	7.9740e-01
1	0.044512	-0.043435	0	0.00	1.1500e-03
0	0.044994	-0.044006	0	350.00	8.0796e-01
1	0.044928	-0.044060	0	0.00	1.1500e-03
0	0.044429	-0.043465	0	350.00	7.9699e-01
1	0.044339	-0.043483	0	0.00	1.1500e-03
0	0.044869	-0.044113	0	350.00	8.0345e-01
1	0.044804	-0.044161	0	0.00	1.1500e-03
0	0.044256	-0.043512	0	350.00	7.8947e-01
1	0.044161	-0.043524	0	0.00	1.1500e-03
0	0.044732	-0.044203	0	350.00	8.0615e-01
1	0.044690	-0.044280	0	0.00	1.1500e-03
0	0.044084	-0.043554	0	350.00	8.0526e-01
1	0.043988	-0.043572	0	0.00	1.1500e-03
0	0.044619	-0.044322	0	350.00	7.9976e-01
1	0.044554	-0.044375	0	0.00	1.1500e-03
0	0.043911	-0.043608	0	350.00	8.0083e-01
1	0.043846	-0.043655	0	0.00	1.1500e-03
0	0.044488	-0.044417	0	350.00	7.9718e-01
1	0.044435	-0.044482	0	0.00	1.1500e-03
0	0.043816	-0.043750	0	350.00	7.9866e-01
1	0.043744	-0.043786	0	0.00	1.1500e-03
0	0.044363	-0.044524	0	350.00	8.0245e-01
1	0.044310	-0.044589	0	0.00	1.1500e-03
0	0.043715	-0.043881	0	350.00	8.0422e-01
1	0.043655	-0.043935	0	0.00	1.1500e-03
0	0.044238	-0.044631	0	350.00	8.0719e-01
1	0.044185	-0.044696	0	0.00	1.1500e-03
0	0.043619	-0.044018	0	350.00	8.0268e-01
1	0.043566	-0.044090	0	0.00	1.1500e-03
0	0.044119	-0.044738	0	350.00	7.9305e-01
1	0.044054	-0.044792	0	0.00	1.1500e-03
0	0.043542	-0.044179	0	350.00	7.9839e-01
1	0.043471	-0.044226	0	0.00	1.1500e-03
0	0.043988	-0.044839	0	350.00	8.0221e-01
1	0.043935	-0.044905	0	0.00	1.1500e-03
0	0.043441	-0.044322	0	350.00	8.0435e-01
1	0.043393	-0.044387	0	0.00	1.1500e-03
0	0.043857	-0.044940	0	350.00	8.0245e-01
1	0.043816	-0.045012	0	0.00	1.1500e-03
0	0.043364	-0.044476	0	350.00	8.0102e-01
1	0.043310	-0.044536	0	0.00	1.1500e-03
0	0.043744	-0.045053	0	350.00	7.9499e-01
1	0.043679	-0.045107	0	0.00	1.1500e-03
0	0.043280	-0.044637	0	350.00	7.9527e-01
1	0.043227	-0.044696	0	0.00	1.1500e-03
