Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
1	-47.362	-55.014	2.500	0	0.000
0	-47.243	-54.972	2.500	1	0.876
0	-46.368	-54.562	2.500	0	0.671
0	-48.546	-55.353	2.500	1	0.832
0	-48.998	-55.424	2.500	0	0.116
0	-45.928	-54.312	2.500	1	0.835
0	-45.654	-54.115	2.500	0	0.067
0	-49.379	-55.472	2.500	1	0.834
0	-49.677	-55.490	2.500	0	0.051
0	-45.404	-53.931	2.500	1	0.835
0	-45.202	-53.770	2.500	0	0.039
0	-49.938	-55.490	2.500	1	0.833
0	-50.182	-55.490	2.500	0	0.034
0	-44.994	-53.598	2.500	1	0.834
0	-44.833	-53.449	2.500	0	0.028
0	-50.414	-55.478	2.500	1	0.833
0	-50.635	-55.466	2.500	0	0.027
0	-44.679	-53.300	2.500	1	0.833
0	-44.548	-53.163	2.500	0	0.022
0	-50.843	-55.454	2.500	1	0.833
0	-51.015	-55.424	2.500	0	0.019
0	-44.399	-53.014	2.500	1	0.834
0	-44.292	-52.884	2.500	0	0.018
0	-51.182	-55.389	2.500	1	0.832
0	-51.366	-55.365	2.500	0	0.019
0	-44.191	-52.753	2.500	1	0.833
0	-44.072	-52.622	2.500	0	0.017
0	-51.539	-55.335	2.500	1	0.834
0	-51.688	-55.299	2.500	0	0.014
0	-43.988	-52.497	2.500	1	0.833
0	-43.887	-52.366	2.500	0	0.015
0	-51.830	-55.258	2.500	1	0.833
0	-51.985	-55.222	2.500	0	0.014
0	-43.810	-52.247	2.500	1	0.833
0	-43.709	-52.116	2.500	0	0.014
0	-52.146	-55.186	2.500	1	0.833
0	-52.259	-55.139	2.500	0	0.010
0	-43.649	-52.003	2.500	1	0.834
0	-43.554	-51.878	2.500	0	0.013
0	-52.408	-55.103	2.500	1	0.834
0	-52.521	-55.049	2.500	0	0.010
0	-43.500	-51.765	2.500	1	0.833
0	-43.435	-51.652	2.500	0	0.010
0	-52.640	-55.002	2.500	1	0.833
0	-52.771	-54.954	2.500	0	0.011
0	-43.381	-51.539	2.500	1	0.833
0	-43.304	-51.420	2.500	0	0.011
0	-52.901	-54.913	2.500	1	0.833
0	-53.009	-54.859	2.500	0	0.009
0	-43.239	-51.301	2.500	1	0.833
0	-43.203	-51.194	2.500	0	0.008
0	-53.116	-54.805	2.500	1	0.833
0	-53.229	-54.752	2.500	0	0.009
0	-43.138	-51.081	2.500	1	0.833
0	-43.102	-50.974	2.500	0	0.008
0	-53.354	-54.704	2.500	1	0.833
0	-53.443	-54.645	2.500	0	0.008
0	-43.036	-50.861	2.500	1	0.833
0	-43.007	-50.759	2.500	0	0.007
0	-53.544	-54.591	2.500	1	0.833
0	-53.663	-54.544	2.500	0	0.009
0	-42.965	-50.652	2.500	1	0.834
0	-42.929	-50.545	2.500	0	0.008
0	-53.746	-54.484	2.500	1	0.833
0	-53.853	-54.431	2.500	0	0.008
0	-42.900	-50.444	2.500	1	0.833
0	-42.846	-50.331	2.500	0	0.008
0	-53.949	-54.371	2.500	1	0.833
0	-54.032	-54.306	2.500	0	0.007
0	-42.816	-50.224	2.500	1	0.833
0	-42.792	-50.129	2.500	0	0.006
0	-54.115	-54.246	2.500	1	0.833
0	-54.222	-54.193	2.500	0	0.008
0	-42.769	-50.028	2.500	1	0.832
0	-42.715	-49.915	2.500	0	0.008
0	-54.288	-54.127	2.500	1	0.833
0	-54.395	-54.074	2.500	0	0.008
0	-42.715	-49.819	2.500	1	0.833
0	-42.667	-49.712	2.500	0	0.007
0	-54.466	-54.008	2.500	1	0.833
0	-54.556	-53.949	2.500	0	0.007
0	-42.667	-49.617	2.500	1	0.833
0	-42.638	-49.516	2.500	0	0.006
0	-54.621	-53.877	2.500	1	0.833
0	-54.722	-53.824	2.500	0	0.007
0	-42.626	-49.421	2.500	1	0.833
0	-42.584	-49.314	2.500	0	0.007
0	-54.776	-53.752	2.500	1	0.833
0	-54.865	-53.693	2.500	0	0.006
0	-42.578	-49.218	2.500	1	0.833
0	-42.560	-49.117	2.500	0	0.006
0	-54.942	-53.627	2.500	1	0.833
0	-55.008	-53.562	2.500	0	0.005
0	-42.560	-49.028	2.500	1	0.833
0	-42.525	-48.921	2.500	0	0.007
0	-55.091	-53.496	2.500	1	0.833
0	-55.151	-53.425	2.500	0	0.005
0	-42.537	-48.838	2.500	1	0.832
0	-42.519	-48.736	2.500	0	0.006
